Survey,Tow,Date,Animal,Orientation,Taxa,Length,Calibration_mm,Body,Body_m,Height_scaled,Height_m
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0,0,0,0
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.03125,0.0009,0.0379038621430866,0.0011
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.0625,0.0018,0.0433983321763743,0.0013
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.09375,0.0028,0.0467329084783314,0.0014
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.125,0.0037,0.0522147954354292,0.0015
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.15625,0.0046,0.058191370540875,0.0017
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.1875,0.0055,0.0632713241245333,0.0019
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.21875,0.0065,0.0666897876411052,0.002
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.25,0.0074,0.0699478578121537,0.0021
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.28125,0.0083,0.0674264224606823,0.002
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.3125,0.0092,0.0642550118312132,0.0019
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.34375,0.0102,0.060900618098329,0.0018
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.375,0.0111,0.0597219281721821,0.0018
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.40625,0.012,0.0601723218474141,0.0018
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.4375,0.0129,0.0629694765518908,0.0019
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.46875,0.0139,0.06735603051719,0.002
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.5,0.0148,0.0697304085024893,0.0021
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.53125,0.0157,0.0667480283168564,0.002
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.5625,0.0166,0.0645882687737794,0.0019
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.59375,0.0176,0.0616386805614019,0.0018
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.625,0.0185,0.0568445800260113,0.0017
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.65625,0.0194,0.0498655794991905,0.0015
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.6875,0.0203,0.0485878292900047,0.0014
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.71875,0.0213,0.0476198078519784,0.0014
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.75,0.0222,0.045967252786086,0.0014
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.78125,0.0231,0.0402219202398071,0.0012
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.8125,0.024,0.0320844829561883,0.0009
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.84375,0.0249,0.0293812993770228,0.0009
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.875,0.0259,0.029012695748552,0.0009
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.90625,0.0268,0.0278587251507796,0.0008
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.9375,0.0277,0.0302939793358366,0.0009
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,0.96875,0.0286,0.0265339584714283,0.0008
KPOP,H15,06172016,076,Lateral,Thysanoessa raschii,29.5665,1,1,0.0296,0,0
